,R2,R2,R2,R2,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,n_samples
,mean,std,min,max,mean,std,min,max,mean,std,min,max,first
dataset,,,,,,,,,,,,,
biotoxin,-0.0811,0.2277,-0.4839,0.0784,17.6883,0.5717,16.722,18.0491,21.2097,2.1234,19.6535,24.9538,5046
cast,0.8287,0.2228,0.5716,0.96,395.7228,390.0972,163.8139,846.1015,543.8897,395.6289,305.6372,1000.5793,21865
cleaned_data,0.6326,0.4214,0.0873,0.9999,0.0312,0.0277,0.0006,0.0643,0.0417,0.0353,0.0008,0.0824,7789
era5_daily,0.8774,0.0509,0.8191,0.9133,0.4099,0.0646,0.3558,0.4814,0.6442,0.1306,0.5493,0.7932,102982
hydrographic,0.5917,0.3116,0.099,0.9618,0.1391,0.0707,0.0436,0.2397,0.1958,0.0888,0.0647,0.3141,4623
phyto_long,0.3466,0.4122,-0.0522,0.771,1607.6878,721.6499,810.4633,2216.308,2200.4405,784.6487,1356.7638,2908.3398,82
phyto_wide,0.4113,0.5211,0.0091,1.0,8.3559,7.8661,0.0017,15.6203,101.8682,88.7141,0.0029,162.1707,440
processed_seq,0.4067,0.2483,0.1546,0.8131,0.0508,0.0124,0.0304,0.0614,0.0684,0.0171,0.0393,0.0837,8009
rolling_mean,0.7268,0.3422,0.2041,0.9998,0.0144,0.0128,0.0005,0.0319,0.0191,0.0168,0.0007,0.0415,8825
